JD Mag MagErr Instrument Filter Name MJD Survey Name_upper
2453695.64 16.446 0.007 Swope g SN2005hk 53695.14000000013 CSP SN2005HK
2453698.59 16.827 0.005 Swope g SN2005hk 53698.08999999985 CSP SN2005HK
2453699.62 16.964 0.005 Swope g SN2005hk 53699.12000000011 CSP SN2005HK
2453702.63 17.31 0.007 Swope g SN2005hk 53702.12999999989 CSP SN2005HK
2453706.66 17.65 0.008 Swope g SN2005hk 53706.16000000015 CSP SN2005HK
2453712.57 17.961 0.012 Swope g SN2005hk 53712.06999999983 CSP SN2005HK
2453720.57 18.134 0.015 Swope g SN2005hk 53720.06999999983 CSP SN2005HK
2453725.6 18.272 0.011 Swope g SN2005hk 53725.10000000009 CSP SN2005HK
2453728.61 18.332 0.009 Swope g SN2005hk 53728.10999999987 CSP SN2005HK
2453730.62 18.309 0.009 Swope g SN2005hk 53730.12000000011 CSP SN2005HK
2453736.56 18.411 0.007 Swope g SN2005hk 53736.060000000056 CSP SN2005HK
2453739.56 18.466 0.008 Swope g SN2005hk 53739.060000000056 CSP SN2005HK
2453745.55 18.498 0.016 Swope g SN2005hk 53745.049999999814 CSP SN2005HK
2453748.57 18.528 0.016 Swope g SN2005hk 53748.06999999983 CSP SN2005HK
2453751.55 18.572 0.011 Swope g SN2005hk 53751.049999999814 CSP SN2005HK
2453761.54 18.665 0.019 Swope g SN2005hk 53761.04000000004 CSP SN2005HK
2453675.61 16.893 0.009 Swope r SN2005hk 53675.10999999987 CSP SN2005HK
2453682.58 15.945 0.005 Swope r SN2005hk 53682.080000000075 CSP SN2005HK
2453683.58 15.878 0.007 Swope r SN2005hk 53683.080000000075 CSP SN2005HK
2453684.62 15.833 0.009 Swope r SN2005hk 53684.12000000011 CSP SN2005HK
2453687.59 15.734 0.008 Swope r SN2005hk 53687.08999999985 CSP SN2005HK
2453689.66 15.701 0.007 Swope r SN2005hk 53689.16000000015 CSP SN2005HK
2453690.61 15.684 0.004 Swope r SN2005hk 53690.10999999987 CSP SN2005HK
2453694.65 15.709 0.006 Swope r SN2005hk 53694.14999999991 CSP SN2005HK
2453695.64 15.726 0.008 Swope r SN2005hk 53695.14000000013 CSP SN2005HK
2453698.59 15.869 0.004 Swope r SN2005hk 53698.08999999985 CSP SN2005HK
2453699.62 15.924 0.004 Swope r SN2005hk 53699.12000000011 CSP SN2005HK
2453702.63 16.108 0.006 Swope r SN2005hk 53702.12999999989 CSP SN2005HK
2453706.66 16.376 0.009 Swope r SN2005hk 53706.16000000015 CSP SN2005HK
2453712.57 16.669 0.009 Swope r SN2005hk 53712.06999999983 CSP SN2005HK
2453720.57 16.966 0.007 Swope r SN2005hk 53720.06999999983 CSP SN2005HK
2453725.6 17.127 0.008 Swope r SN2005hk 53725.10000000009 CSP SN2005HK
2453728.61 17.202 0.008 Swope r SN2005hk 53728.10999999987 CSP SN2005HK
2453730.62 17.267 0.007 Swope r SN2005hk 53730.12000000011 CSP SN2005HK
2453736.56 17.396 0.007 Swope r SN2005hk 53736.060000000056 CSP SN2005HK
2453739.56 17.475 0.007 Swope r SN2005hk 53739.060000000056 CSP SN2005HK
2453745.55 17.588 0.011 Swope r SN2005hk 53745.049999999814 CSP SN2005HK
2453748.57 17.657 0.012 Swope r SN2005hk 53748.06999999983 CSP SN2005HK
2453751.55 17.733 0.011 Swope r SN2005hk 53751.049999999814 CSP SN2005HK
2453761.54 17.983 0.01 Swope r SN2005hk 53761.04000000004 CSP SN2005HK
2453675.61 17.106 0.012 Swope i SN2005hk 53675.10999999987 CSP SN2005HK
2453682.58 16.17 0.005 Swope i SN2005hk 53682.080000000075 CSP SN2005HK
2453683.58 16.104 0.009 Swope i SN2005hk 53683.080000000075 CSP SN2005HK
2453684.62 16.064 0.01 Swope i SN2005hk 53684.12000000011 CSP SN2005HK
2453687.59 15.943 0.01 Swope i SN2005hk 53687.08999999985 CSP SN2005HK
2453689.66 15.885 0.009 Swope i SN2005hk 53689.16000000015 CSP SN2005HK
2453690.61 15.87 0.005 Swope i SN2005hk 53690.10999999987 CSP SN2005HK
2453694.65 15.779 0.009 Swope i SN2005hk 53694.14999999991 CSP SN2005HK
2453695.64 15.783 0.008 Swope i SN2005hk 53695.14000000013 CSP SN2005HK
2453698.59 15.846 0.005 Swope i SN2005hk 53698.08999999985 CSP SN2005HK
2453699.62 15.875 0.006 Swope i SN2005hk 53699.12000000011 CSP SN2005HK
2453702.63 16.005 0.008 Swope i SN2005hk 53702.12999999989 CSP SN2005HK
2453706.66 16.21 0.009 Swope i SN2005hk 53706.16000000015 CSP SN2005HK
2453712.57 16.495 0.01 Swope i SN2005hk 53712.06999999983 CSP SN2005HK
2453720.57 16.811 0.009 Swope i SN2005hk 53720.06999999983 CSP SN2005HK
2453725.6 16.982 0.01 Swope i SN2005hk 53725.10000000009 CSP SN2005HK
2453728.61 17.066 0.009 Swope i SN2005hk 53728.10999999987 CSP SN2005HK
2453730.62 17.135 0.008 Swope i SN2005hk 53730.12000000011 CSP SN2005HK
2453736.56 17.289 0.008 Swope i SN2005hk 53736.060000000056 CSP SN2005HK
2453739.56 17.367 0.009 Swope i SN2005hk 53739.060000000056 CSP SN2005HK
2453745.55 17.5 0.012 Swope i SN2005hk 53745.049999999814 CSP SN2005HK
2453748.57 17.564 0.013 Swope i SN2005hk 53748.06999999983 CSP SN2005HK
2453751.55 17.666 0.014 Swope i SN2005hk 53751.049999999814 CSP SN2005HK
2453761.54 17.841 0.012 Swope i SN2005hk 53761.04000000004 CSP SN2005HK
2453676.5 16.878 0.026 Swope1 Y SN2005hk 53676.0 CSP SN2005HK
2453676.51 16.857 0.024 Swope1 Y SN2005hk 53676.00999999978 CSP SN2005HK
2453677.55 16.71 0.022 Swope1 Y SN2005hk 53677.049999999814 CSP SN2005HK
2453678.53 16.568 0.02 Swope1 Y SN2005hk 53678.029999999795 CSP SN2005HK
2453678.54 16.524 0.019 Swope1 Y SN2005hk 53678.04000000004 CSP SN2005HK
2453680.53 16.369 0.017 Swope1 Y SN2005hk 53680.029999999795 CSP SN2005HK
2453680.54 16.306 0.017 Swope1 Y SN2005hk 53680.04000000004 CSP SN2005HK
2453681.58 16.268 0.036 duPont Y SN2005hk 53681.080000000075 CSP SN2005HK
2453681.59 16.262 0.036 duPont Y SN2005hk 53681.08999999985 CSP SN2005HK
2453685.61 16.043 0.021 Swope1 Y SN2005hk 53685.10999999987 CSP SN2005HK
2453685.62 16.119 0.023 Swope1 Y SN2005hk 53685.12000000011 CSP SN2005HK
2453696.62 15.581 0.017 Swope1 Y SN2005hk 53696.12000000011 CSP SN2005HK
2453697.56 15.507 0.013 Swope1 Y SN2005hk 53697.060000000056 CSP SN2005HK
2453697.56 15.519 0.014 Swope1 Y SN2005hk 53697.060000000056 CSP SN2005HK
2453705.54 15.58 0.016 Swope1 Y SN2005hk 53705.04000000004 CSP SN2005HK
2453710.61 15.685 0.015 Swope1 Y SN2005hk 53710.10999999987 CSP SN2005HK
2453710.62 15.671 0.014 Swope1 Y SN2005hk 53710.12000000011 CSP SN2005HK
2453717.6 15.916 0.012 Swope1 Y SN2005hk 53717.10000000009 CSP SN2005HK
2453717.61 15.886 0.016 Swope1 Y SN2005hk 53717.10999999987 CSP SN2005HK
2453719.61 15.955 0.022 Swope1 Y SN2005hk 53719.10999999987 CSP SN2005HK
2453722.55 16.074 0.063 duPont Y SN2005hk 53722.049999999814 CSP SN2005HK
2453722.56 16.024 0.036 duPont Y SN2005hk 53722.060000000056 CSP SN2005HK
2453723.54 16.088 0.019 Swope1 Y SN2005hk 53723.04000000004 CSP SN2005HK
2453723.54 16.061 0.023 Swope1 Y SN2005hk 53723.04000000004 CSP SN2005HK
2453727.57 16.248 0.02 Swope1 Y SN2005hk 53727.06999999983 CSP SN2005HK
2453727.58 16.214 0.021 Swope1 Y SN2005hk 53727.080000000075 CSP SN2005HK
2453731.56 16.368 0.02 Swope1 Y SN2005hk 53731.060000000056 CSP SN2005HK
2453743.55 16.775 0.037 duPont Y SN2005hk 53743.049999999814 CSP SN2005HK
2453743.57 16.79 0.037 duPont Y SN2005hk 53743.06999999983 CSP SN2005HK
2453756.56 17.237 0.042 duPont Y SN2005hk 53756.060000000056 CSP SN2005HK
2453756.57 17.278 0.069 duPont Y SN2005hk 53756.06999999983 CSP SN2005HK
2453676.5 16.763 0.033 Swope1 J SN2005hk 53676.0 CSP SN2005HK
2453676.51 16.771 0.031 Swope1 J SN2005hk 53676.00999999978 CSP SN2005HK
2453677.55 16.558 0.027 Swope1 J SN2005hk 53677.049999999814 CSP SN2005HK
2453677.58 16.507 0.031 Swope1 J SN2005hk 53677.080000000075 CSP SN2005HK
2453678.53 16.422 0.025 Swope1 J SN2005hk 53678.029999999795 CSP SN2005HK
2453678.54 16.423 0.031 Swope1 J SN2005hk 53678.04000000004 CSP SN2005HK
2453680.53 16.152 0.024 Swope1 J SN2005hk 53680.029999999795 CSP SN2005HK
2453680.54 16.177 0.026 Swope1 J SN2005hk 53680.04000000004 CSP SN2005HK
2453681.58 16.151 0.037 duPont J SN2005hk 53681.080000000075 CSP SN2005HK
2453681.59 16.145 0.029 duPont J SN2005hk 53681.08999999985 CSP SN2005HK
2453685.61 15.946 0.025 Swope1 J SN2005hk 53685.10999999987 CSP SN2005HK
2453685.62 15.951 0.02 Swope1 J SN2005hk 53685.12000000011 CSP SN2005HK
2453688.63 15.916 0.022 Swope1 J SN2005hk 53688.12999999989 CSP SN2005HK
2453688.63 15.881 0.021 Swope1 J SN2005hk 53688.12999999989 CSP SN2005HK
2453691.6 15.829 0.075 Swope1 J SN2005hk 53691.10000000009 CSP SN2005HK
2453696.62 15.893 0.022 Swope1 J SN2005hk 53696.12000000011 CSP SN2005HK
2453696.63 15.86 0.021 Swope1 J SN2005hk 53696.12999999989 CSP SN2005HK
2453697.56 15.942 0.026 Swope1 J SN2005hk 53697.060000000056 CSP SN2005HK
2453697.56 15.938 0.027 Swope1 J SN2005hk 53697.060000000056 CSP SN2005HK
2453701.58 15.854 0.024 Swope1 J SN2005hk 53701.080000000075 CSP SN2005HK
2453701.58 15.933 0.024 Swope1 J SN2005hk 53701.080000000075 CSP SN2005HK
2453705.54 16.001 0.027 Swope1 J SN2005hk 53705.04000000004 CSP SN2005HK
